seed,category,signal_events_450fb,background_events_450fb,S_over_B,S_over_sqrtB,n_signal_rows,n_background_rows,neff_background,combined_category_Z
0,CAT0_very_high_QCD_high_top,44.01958276538264,59297.051205868185,0.000742357029062962,0.18077125513283526,71,52,27.70007351062545,
0,CAT1_high_QCD_medium_top,28.72029527255017,102356.31802279317,0.00028059132867747945,0.08977007190892955,39,88,48.91993746021381,
0,CAT2_nominal_loose_mid,31.59983791865765,114398.64534842827,0.00027622563031592576,0.09342743251830428,43,109,61.734675445972854,
0,CAT3_lower_QCD_medium_top,23.33686592295817,137104.75689801824,0.00017021193466187817,0.06302549561638979,36,144,78.200180249586,
0,CAT4_loose_low_purity,17.202124688120268,131380.40158286548,0.00013093371980044057,0.04745880501958072,23,122,67.83355667347274,
0,INCLUSIVE_union_of_categories,144.87870656766893,544537.1730579734,0.00026605843225370517,0.1963318658199391,212,515,282.95988753620884,0.2359876033002061
1,CAT0_very_high_QCD_high_top,37.92720267023508,60357.46335491674,0.0006283763525185576,0.15437796887883456,72,55,25.744101640880118,
1,CAT1_high_QCD_medium_top,30.407193516168196,105483.68689384405,0.00028826441710147255,0.09362324452095164,41,83,45.6336865387873,
1,CAT2_nominal_loose_mid,20.17210185630725,110930.56434450846,0.00018184439947191035,0.0605655326745039,26,117,64.84157539057931,
1,CAT3_lower_QCD_medium_top,19.316754598278337,131420.32500656304,0.00014698452919906926,0.05328474528682574,32,128,38.826181869032666,
1,CAT4_loose_low_purity,24.004989849906192,137721.22115188756,0.0001743013142719087,0.06468462939464427,25,103,26.0637341676479,
1,INCLUSIVE_union_of_categories,131.82824249089504,545913.2607517198,0.00024148203014773484,0.17842127571427466,196,486,170.52443488995684,0.20806109270628925
2,CAT0_very_high_QCD_high_top,43.719058011284275,81381.7710983359,0.0005372094686715199,0.15325237983490297,67,58,20.458217175327945,
2,CAT1_high_QCD_medium_top,31.750100295706822,87660.54967218912,0.0003621937167224922,0.10723659278629638,45,92,48.393711903934616,
2,CAT2_nominal_loose_mid,17.427518253694043,113571.38099766942,0.00015344991053733572,0.05171316193114801,26,112,58.60697019147047,
2,CAT3_lower_QCD_medium_top,22.96120998033522,92421.91669962613,0.0002484390153361546,0.07552787828637295,31,108,68.37146477746988,
2,CAT4_loose_low_purity,25.389965495295158,93202.64934618906,0.0002724167786367043,0.08316641515615171,29,88,45.92923000802089,
2,INCLUSIVE_union_of_categories,141.24785203631552,468238.2678140096,0.00030165806971680715,0.20641839645952134,198,458,215.65199861802057,0.2242350170752976
3,CAT0_very_high_QCD_high_top,55.12682091675917,73843.96402181449,0.0007465311707870121,0.20286421606767954,84,63,35.73093897963971,
3,CAT1_high_QCD_medium_top,17.730952626526083,98737.95891344547,0.0001795758472389447,0.056427394413192715,38,93,45.67446362094727,
3,CAT2_nominal_loose_mid,21.102720369589345,107610.74362088105,0.0001961023561358842,0.06432956696071557,28,112,60.01615917052864,
3,CAT3_lower_QCD_medium_top,24.69251659045505,138696.31871515876,0.00017803296308942546,0.06630295539969172,40,135,88.55138010050237,
3,CAT4_loose_low_purity,26.55694716426193,110766.82251468234,0.0002397554300227558,0.07979456301941396,28,103,55.404777564295586,
3,INCLUSIVE_union_of_categories,145.2099576675916,529655.8077859821,0.00027415909640372816,0.19952601530369551,218,506,281.1833811545699,0.2433916357818446
4,CAT0_very_high_QCD_high_top,49.23176306123577,81799.02733404051,0.0006018624507622729,0.17213584627085346,76,60,30.34274619983196,
