seed,luminosity_fb,category,sample,group,expected_events,rows,fraction_within_group
0,138.0,CAT0_very_high_QCD_high_top,VBF_HH4b_SMnorm,signal,0.9446494770491803,41,0.06997746311967847
0,138.0,CAT0_very_high_QCD_high_top,Zbbbb_100k,background,346.8090461175245,13,0.01907175888899503
0,138.0,CAT0_very_high_QCD_high_top,ggF_HH4b_SMnorm,signal,12.55468923766816,30,0.9300225368803215
0,138.0,CAT0_very_high_QCD_high_top,qcd_bbbb_iht200to400_combined120k,background,7518.965763764531,18,0.4134837419798187
0,138.0,CAT0_very_high_QCD_high_top,qcd_bbbb_iht400to600_20000,background,1393.896042442322,7,0.0766532751535429
0,138.0,CAT0_very_high_QCD_high_top,qcd_bbbb_iht600plus_20000,background,176.3882298419365,5,0.009699959756130664
0,138.0,CAT0_very_high_QCD_high_top,ttbar_200k,background,8748.369954299927,9,0.48109126422151255
0,138.0,CAT1_high_QCD_medium_top,VBF_HH4b_SMnorm,signal,0.4377643918032787,19,0.049703269705989386
0,138.0,CAT1_high_QCD_medium_top,Zbbbb_100k,background,586.9076165065799,22,0.018697714232299822
0,138.0,CAT1_high_QCD_medium_top,ggF_HH4b_SMnorm,signal,8.369792825112107,20,0.9502967302940105
0,138.0,CAT1_high_QCD_medium_top,qcd_bbbb_iht200to400_combined120k,background,12531.60960627422,30,0.39923226194191286
0,138.0,CAT1_high_QCD_medium_top,qcd_bbbb_iht400to600_20000,background,3584.3041091373984,18,0.11418882984211148
0,138.0,CAT1_high_QCD_medium_top,qcd_bbbb_iht600plus_20000,background,105.83293790516188,3,0.003371627788874101
0,138.0,CAT1_high_QCD_medium_top,ttbar_200k,background,14580.616590499885,15,0.46450956619480194
0,138.0,CAT2_nominal_loose_mid,VBF_HH4b_SMnorm,signal,0.48384485409836064,21,0.04992921049398268
0,138.0,CAT2_nominal_loose_mid,Zbbbb_100k,background,506.8747597102281,19,0.014448182251475147
0,138.0,CAT2_nominal_loose_mid,ggF_HH4b_SMnorm,signal,9.206772107623319,22,0.9500707895060174
0,138.0,CAT2_nominal_loose_mid,qcd_bbbb_iht200to400_combined120k,background,18797.41440941133,45,0.5358098110841869
0,138.0,CAT2_nominal_loose_mid,qcd_bbbb_iht400to600_20000,background,3584.3041091373984,18,0.10216858902805495
0,138.0,CAT2_nominal_loose_mid,qcd_bbbb_iht600plus_20000,background,529.1646895258095,15,0.015083544265816165
0,138.0,CAT2_nominal_loose_mid,ttbar_200k,background,11664.493272399906,12,0.3324898733704669
0,138.0,CAT3_lower_QCD_medium_top,VBF_HH4b_SMnorm,signal,0.4608046229508197,20,0.06438841339931439
0,138.0,CAT3_lower_QCD_medium_top,Zbbbb_100k,background,1040.4271383525734,39,0.02474529160796149
0,138.0,CAT3_lower_QCD_medium_top,ggF_HH4b_SMnorm,signal,6.695834260089686,16,0.9356115866006856
0,138.0,CAT3_lower_QCD_medium_top,qcd_bbbb_iht200to400_combined120k,background,25063.21921254844,60,0.5960981266125007
0,138.0,CAT3_lower_QCD_medium_top,qcd_bbbb_iht400to600_20000,background,3783.432115200587,19,0.0899843223215108
0,138.0,CAT3_lower_QCD_medium_top,qcd_bbbb_iht600plus_20000,background,493.8870435574222,14,0.011746501473975284
0,138.0,CAT3_lower_QCD_medium_top,ttbar_200k,background,11664.493272399906,12,0.27742575798405184
0,138.0,CAT4_loose_low_purity,VBF_HH4b_SMnorm,signal,0.2534425426229508,11,0.04804308123293809
0,138.0,CAT4_loose_low_purity,Zbbbb_100k,background,933.7166626241044,35,0.023174904407389087
0,138.0,CAT4_loose_low_purity,ggF_HH4b_SMnorm,signal,5.021875695067265,12,0.9519569187670619
0,138.0,CAT4_loose_low_purity,qcd_bbbb_iht200to400_combined120k,background,22139.176971084453,53,0.549495720169776
0,138.0,CAT4_loose_low_purity,qcd_bbbb_iht400to600_20000,background,2389.536072758266,12,0.05930843079157357
0,138.0,CAT4_loose_low_purity,qcd_bbbb_iht600plus_20000,background,246.9435217787111,7,0.0061291532435140406
0,138.0,CAT4_loose_low_purity,ttbar_200k,background,14580.616590499885,15,0.3618917913877475
0,350.0,CAT0_very_high_QCD_high_top,VBF_HH4b_SMnorm,signal,2.39585012295082,41,0.06997746311967847
0,350.0,CAT0_very_high_QCD_high_top,Zbbbb_100k,background,879.5881604429969,13,0.019071758888995035
0,350.0,CAT0_very_high_QCD_high_top,ggF_HH4b_SMnorm,signal,31.84160313901345,30,0.9300225368803215
0,350.0,CAT0_very_high_QCD_high_top,qcd_bbbb_iht200to400_combined120k,background,19069.8407051999,18,0.4134837419798187
0,350.0,CAT0_very_high_QCD_high_top,qcd_bbbb_iht400to600_20000,background,3535.2435859044394,7,0.0766532751535429
0,350.0,CAT0_very_high_QCD_high_top,qcd_bbbb_iht600plus_20000,background,447.361452497665,5,0.009699959756130666
0,350.0,CAT0_very_high_QCD_high_top,ttbar_200k,background,22187.894811630253,9,0.48109126422151266
0,350.0,CAT1_high_QCD_medium_top,VBF_HH4b_SMnorm,signal,1.1102720081967212,19,0.04970326970598938
0,350.0,CAT1_high_QCD_medium_top,Zbbbb_100k,background,1488.5338099804562,22,0.018697714232299822
0,350.0,CAT1_high_QCD_medium_top,ggF_HH4b_SMnorm,signal,21.227735426008966,20,0.9502967302940105
0,350.0,CAT1_high_QCD_medium_top,qcd_bbbb_iht200to400_combined120k,background,31783.067841999833,30,0.3992322619419129
0,350.0,CAT1_high_QCD_medium_top,qcd_bbbb_iht400to600_20000,background,9090.62636375427,18,0.11418882984211148
0,350.0,CAT1_high_QCD_medium_top,qcd_bbbb_iht600plus_20000,background,268.416871498599,3,0.0033716277888741013
0,350.0,CAT1_high_QCD_medium_top,ttbar_200k,background,36979.82468605044,15,0.46450956619480205
0,350.0,CAT2_nominal_loose_mid,VBF_HH4b_SMnorm,signal,1.2271427459016393,21,0.04992921049398268
0,350.0,CAT2_nominal_loose_mid,Zbbbb_100k,background,1285.5519268013031,19,0.014448182251475148
0,350.0,CAT2_nominal_loose_mid,ggF_HH4b_SMnorm,signal,23.350508968609866,22,0.9500707895060174
0,350.0,CAT2_nominal_loose_mid,qcd_bbbb_iht200to400_combined120k,background,47674.601762999744,45,0.5358098110841869
0,350.0,CAT2_nominal_loose_mid,qcd_bbbb_iht400to600_20000,background,9090.62636375427,18,0.10216858902805495
0,350.0,CAT2_nominal_loose_mid,qcd_bbbb_iht600plus_20000,background,1342.0843574929952,15,0.015083544265816167
0,350.0,CAT2_nominal_loose_mid,ttbar_200k,background,29583.859748840343,12,0.3324898733704669
0,350.0,CAT3_lower_QCD_medium_top,VBF_HH4b_SMnorm,signal,1.1687073770491803,20,0.06438841339931438
0,350.0,CAT3_lower_QCD_medium_top,Zbbbb_100k,background,2638.7644813289908,39,0.024745291607961493
0,350.0,CAT3_lower_QCD_medium_top,ggF_HH4b_SMnorm,signal,16.982188340807177,16,0.9356115866006856
0,350.0,CAT3_lower_QCD_medium_top,qcd_bbbb_iht200to400_combined120k,background,63566.135683999666,60,0.5960981266125007
0,350.0,CAT3_lower_QCD_medium_top,qcd_bbbb_iht400to600_20000,background,9595.66116174062,19,0.08998432232151081
0,350.0,CAT3_lower_QCD_medium_top,qcd_bbbb_iht600plus_20000,background,1252.6120669934621,14,0.011746501473975286
0,350.0,CAT3_lower_QCD_medium_top,ttbar_200k,background,29583.859748840343,12,0.2774257579840519
0,350.0,CAT4_loose_low_purity,VBF_HH4b_SMnorm,signal,0.6427890573770492,11,0.04804308123293809
0,350.0,CAT4_loose_low_purity,Zbbbb_100k,background,2368.121970423453,35,0.023174904407389087
