seed,tail_region,analysis_sample,rows,expected_events_450fb,fraction_of_tail_background
0,top_0.1pct_background_tail,Zbbbb_100k,1,86.99223564820848,0.015570241157076479
0,top_0.1pct_background_tail,qcd_bbbb_iht100to200_20000,0,0.0,0.0
0,top_0.1pct_background_tail,qcd_bbbb_iht200to400_combined120k,3,4086.394436828549,0.7314002953281561
0,top_0.1pct_background_tail,qcd_bbbb_iht400to600_20000,2,1298.6609091077532,0.23243986529839594
0,top_0.1pct_background_tail,qcd_bbbb_iht600plus_20000,1,115.03580207082814,0.02058959821637138
0,top_0.1pct_background_tail,ttbar_200k,0,0.0,0.0
0,top_0.2pct_background_tail,Zbbbb_100k,2,173.98447129641696,0.017216677814278124
0,top_0.2pct_background_tail,qcd_bbbb_iht100to200_20000,0,0.0,0.0
0,top_0.2pct_background_tail,qcd_bbbb_iht200to400_combined120k,6,8172.788873657098,0.8087404113333017
0,top_0.2pct_background_tail,qcd_bbbb_iht400to600_20000,2,1298.6609091077532,0.1285093220992888
0,top_0.2pct_background_tail,qcd_bbbb_iht600plus_20000,4,460.14320828331256,0.04553358875313152
0,top_0.2pct_background_tail,ttbar_200k,0,0.0,0.0
0,top_0.5pct_background_tail,Zbbbb_100k,6,521.9534138892509,0.01740825637806801
0,top_0.5pct_background_tail,qcd_bbbb_iht100to200_20000,0,0.0,0.0
0,top_0.5pct_background_tail,qcd_bbbb_iht200to400_combined120k,14,19069.840705199906,0.6360197428567368
0,top_0.5pct_background_tail,qcd_bbbb_iht400to600_20000,5,3246.652272769383,0.10828275786849982
0,top_0.5pct_background_tail,qcd_bbbb_iht600plus_20000,7,805.250614495797,0.026856820499145184
0,top_0.5pct_background_tail,ttbar_200k,2,6339.398517608643,0.21143242239755042
0,top_1.0pct_background_tail,Zbbbb_100k,16,1391.8757703713356,0.025393039631139137
0,top_1.0pct_background_tail,qcd_bbbb_iht100to200_20000,0,0.0,0.0
0,top_1.0pct_background_tail,qcd_bbbb_iht200to400_combined120k,28,38139.6814103998,0.6958109783856092
0,top_1.0pct_background_tail,qcd_bbbb_iht400to600_20000,12,7791.96545464652,0.14215470360657192
0,top_1.0pct_background_tail,qcd_bbbb_iht600plus_20000,10,1150.3580207082814,0.020986849136723603
0,top_1.0pct_background_tail,ttbar_200k,2,6339.398517608643,0.11565442923995606
0,top_2.0pct_background_tail,Zbbbb_100k,26,2261.7981268534204,0.01672638004505419
0,top_2.0pct_background_tail,qcd_bbbb_iht100to200_20000,0,0.0,0.0
0,top_2.0pct_background_tail,qcd_bbbb_iht200to400_combined120k,65,88538.54613128523,0.6547575372204795
0,top_2.0pct_background_tail,qcd_bbbb_iht400to600_20000,22,14285.27000018528,0.10564198998684346
0,top_2.0pct_background_tail,qcd_bbbb_iht600plus_20000,14,1610.501228991594,0.011909929228129562
0,top_2.0pct_background_tail,ttbar_200k,9,28527.29332923889,0.2109641635194934
0,top_5.0pct_background_tail,Zbbbb_100k,73,6350.43320231922,0.01855269753841652
0,top_5.0pct_background_tail,qcd_bbbb_iht100to200_20000,0,0.0,0.0
0,top_5.0pct_background_tail,qcd_bbbb_iht200to400_combined120k,159,216578.9051519131,0.6327320975547618
0,top_5.0pct_background_tail,qcd_bbbb_iht400to600_20000,46,29869.20090947833,0.08726243274007926
0,top_5.0pct_background_tail,qcd_bbbb_iht600plus_20000,34,3911.2172704081568,0.011426563938726712
0,top_5.0pct_background_tail,ttbar_200k,27,85581.87998771667,0.2500262082280156
1,top_0.1pct_background_tail,Zbbbb_100k,1,86.21990748668281,0.02283364312872535
1,top_0.1pct_background_tail,qcd_bbbb_iht100to200_20000,0,0.0,0.0
1,top_0.1pct_background_tail,qcd_bbbb_iht200to400_combined120k,2,2703.401911915116,0.7159427131108661
1,top_0.1pct_background_tail,qcd_bbbb_iht400to600_20000,1,643.700421710924,0.17047136954336736
1,top_0.1pct_background_tail,qcd_bbbb_iht600plus_20000,3,342.68086976255296,0.09075227421704099
1,top_0.1pct_background_tail,ttbar_200k,0,0.0,0.0
1,top_0.2pct_background_tail,Zbbbb_100k,3,258.65972246004844,0.02533001317754752
1,top_0.2pct_background_tail,qcd_bbbb_iht100to200_20000,0,0.0,0.0
1,top_0.2pct_background_tail,qcd_bbbb_iht200to400_combined120k,4,5406.803823830232,0.529477147827635
1,top_0.2pct_background_tail,qcd_bbbb_iht400to600_20000,1,643.700421710924,0.06303625477232544
1,top_0.2pct_background_tail,qcd_bbbb_iht600plus_20000,5,571.1347829375883,0.05593005142189986
1,top_0.2pct_background_tail,ttbar_200k,1,3331.291770037483,0.3262265328005921
1,top_0.5pct_background_tail,Zbbbb_100k,5,431.09953743341407,0.01567843395494008
1,top_0.5pct_background_tail,qcd_bbbb_iht100to200_20000,0,0.0,0.0
1,top_0.5pct_background_tail,qcd_bbbb_iht200to400_combined120k,11,14868.71051553314,0.540752368236804
1,top_0.5pct_background_tail,qcd_bbbb_iht400to600_20000,7,4505.902951976469,0.16387283145912498
1,top_0.5pct_background_tail,qcd_bbbb_iht600plus_20000,9,1028.042609287659,0.03738834480904626
1,top_0.5pct_background_tail,ttbar_200k,2,6662.583540074966,0.24230802154008463
1,top_1.0pct_background_tail,Zbbbb_100k,10,862.1990748668281,0.01416617623104193
1,top_1.0pct_background_tail,qcd_bbbb_iht100to200_20000,0,0.0,0.0
1,top_1.0pct_background_tail,qcd_bbbb_iht200to400_combined120k,25,33792.523898938955,0.5552207869371759
1,top_1.0pct_background_tail,qcd_bbbb_iht400to600_20000,12,7724.4050605310895,0.12691417395029903
1,top_1.0pct_background_tail,qcd_bbbb_iht600plus_20000,16,1827.6313054002824,0.03002850259572427
1,top_1.0pct_background_tail,ttbar_200k,5,16656.458850187413,0.273670360285759
1,top_2.0pct_background_tail,Zbbbb_100k,22,1896.837964707022,0.015942114923875258
1,top_2.0pct_background_tail,qcd_bbbb_iht100to200_20000,0,0.0,0.0
1,top_2.0pct_background_tail,qcd_bbbb_iht200to400_combined120k,50,67585.0477978779,0.5680235313593537
1,top_2.0pct_background_tail,qcd_bbbb_iht400to600_20000,25,16092.5105427731,0.1352506947140255
1,top_2.0pct_background_tail,qcd_bbbb_iht600plus_20000,30,3426.808697625529,0.028800867072543805
1,top_2.0pct_background_tail,ttbar_200k,9,29981.625930337344,0.25198279193020146
1,top_5.0pct_background_tail,Zbbbb_100k,69,5949.173616581115,0.016923232179196755
1,top_5.0pct_background_tail,qcd_bbbb_iht100to200_20000,2,32533.779830932617,0.09254675442841553
1,top_5.0pct_background_tail,qcd_bbbb_iht200to400_combined120k,141,190589.83479001565,0.5421586648869332
1,top_5.0pct_background_tail,qcd_bbbb_iht400to600_20000,52,33472.42192896805,0.09521684933268068
