sample,group,source_root,event_in_file,n_selected_jets,n_selected_btags,is_signal,assignment_mask,truth_available,weight_pb
ggF_HH4b_SMnorm,signal,HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_0_1000_pythia8_delphes.root,0,4,2,1,0,1,1.055e-06
ggF_HH4b_SMnorm,signal,HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_0_1000_pythia8_delphes.root,1,8,2,1,0,1,1.055e-06
ggF_HH4b_SMnorm,signal,HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_0_1000_pythia8_delphes.root,5,4,1,1,0,1,1.055e-06
ggF_HH4b_SMnorm,signal,HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_0_1000_pythia8_delphes.root,6,4,4,1,1,1,1.055e-06
ggF_HH4b_SMnorm,signal,HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_0_1000_pythia8_delphes.root,7,5,1,1,0,1,1.055e-06
ggF_HH4b_SMnorm,signal,HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_0_1000_pythia8_delphes.root,8,5,4,1,1,1,1.055e-06
ggF_HH4b_SMnorm,signal,HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_0_1000_pythia8_delphes.root,9,8,2,1,0,1,1.055e-06
ggF_HH4b_SMnorm,signal,HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_0_1000_pythia8_delphes.root,14,5,4,1,1,1,1.055e-06
ggF_HH4b_SMnorm,signal,HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_0_1000_pythia8_delphes.root,15,4,3,1,1,1,1.055e-06
ggF_HH4b_SMnorm,signal,HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_0_1000_pythia8_delphes.root,16,4,1,1,0,1,1.055e-06
ggF_HH4b_SMnorm,signal,HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_0_1000_pythia8_delphes.root,17,4,3,1,0,1,1.055e-06
ggF_HH4b_SMnorm,signal,HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_0_1000_pythia8_delphes.root,18,4,1,1,0,1,1.055e-06
ggF_HH4b_SMnorm,signal,HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_0_1000_pythia8_delphes.root,19,4,3,1,0,1,1.055e-06
ggF_HH4b_SMnorm,signal,HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_0_1000_pythia8_delphes.root,21,5,3,1,1,1,1.055e-06
ggF_HH4b_SMnorm,signal,HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_0_1000_pythia8_delphes.root,23,4,3,1,0,1,1.055e-06
ggF_HH4b_SMnorm,signal,HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_0_1000_pythia8_delphes.root,24,4,0,1,0,1,1.055e-06
ggF_HH4b_SMnorm,signal,HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_0_1000_pythia8_delphes.root,25,5,1,1,1,1,1.055e-06
ggF_HH4b_SMnorm,signal,HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_0_1000_pythia8_delphes.root,26,5,1,1,1,1,1.055e-06
ggF_HH4b_SMnorm,signal,HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_0_1000_pythia8_delphes.root,27,4,2,1,0,1,1.055e-06
ggF_HH4b_SMnorm,signal,HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_0_1000_pythia8_delphes.root,31,4,3,1,0,1,1.055e-06
ggF_HH4b_SMnorm,signal,HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_0_1000_pythia8_delphes.root,32,6,2,1,1,1,1.055e-06
ggF_HH4b_SMnorm,signal,HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_0_1000_pythia8_delphes.root,33,4,2,1,0,1,1.055e-06
ggF_HH4b_SMnorm,signal,HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_0_1000_pythia8_delphes.root,36,4,3,1,0,1,1.055e-06
ggF_HH4b_SMnorm,signal,HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_0_1000_pythia8_delphes.root,38,4,1,1,0,1,1.055e-06
ggF_HH4b_SMnorm,signal,HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_0_1000_pythia8_delphes.root,39,5,2,1,1,1,1.055e-06
ggF_HH4b_SMnorm,signal,HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_0_1000_pythia8_delphes.root,40,4,2,1,1,1,1.055e-06
ggF_HH4b_SMnorm,signal,HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_0_1000_pythia8_delphes.root,41,5,2,1,0,1,1.055e-06
ggF_HH4b_SMnorm,signal,HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_0_1000_pythia8_delphes.root,42,6,1,1,0,1,1.055e-06
ggF_HH4b_SMnorm,signal,HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_0_1000_pythia8_delphes.root,44,5,1,1,0,1,1.055e-06
ggF_HH4b_SMnorm,signal,HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_0_1000_pythia8_delphes.root,45,5,3,1,1,1,1.055e-06
ggF_HH4b_SMnorm,signal,HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_0_1000_pythia8_delphes.root,47,4,2,1,0,1,1.055e-06
ggF_HH4b_SMnorm,signal,HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_0_1000_pythia8_delphes.root,48,4,3,1,0,1,1.055e-06
ggF_HH4b_SMnorm,signal,HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_0_1000_pythia8_delphes.root,49,5,2,1,1,1,1.055e-06
ggF_HH4b_SMnorm,signal,HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_0_1000_pythia8_delphes.root,52,4,3,1,0,1,1.055e-06
ggF_HH4b_SMnorm,signal,HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_0_1000_pythia8_delphes.root,55,6,2,1,1,1,1.055e-06
ggF_HH4b_SMnorm,signal,HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_0_1000_pythia8_delphes.root,56,4,2,1,0,1,1.055e-06
ggF_HH4b_SMnorm,signal,HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_0_1000_pythia8_delphes.root,57,4,4,1,1,1,1.055e-06
ggF_HH4b_SMnorm,signal,HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_0_1000_pythia8_delphes.root,58,5,3,1,1,1,1.055e-06
ggF_HH4b_SMnorm,signal,HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_0_1000_pythia8_delphes.root,60,5,3,1,1,1,1.055e-06
ggF_HH4b_SMnorm,signal,HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_0_1000_pythia8_delphes.root,61,5,2,1,0,1,1.055e-06
