threshold,signal_events_450fb,background_events_450fb,S_over_B,S_over_sqrtB,n_signal_test_rows,n_background_test_rows
0.01,317.89917352577316,6847456.816260979,4.6425874898669385e-05,0.1214855845789859,200,2694
0.02,317.5504955257731,6663292.236927912,4.7656696454931214e-05,0.12301791566428348,198,2567
0.03,317.3761565257731,6399562.988672101,4.959341084501587e-05,0.12545822461279585,197,2486
0.04,317.2018175257731,6199720.028802978,5.1163893861674495e-05,0.12739419187945303,196,2400
0.05,313.9048960515463,6107521.969162615,5.139644157425518e-05,0.12701808788430863,194,2346
0.060000000000000005,313.9048960515463,5982417.1506547425,5.2471248351043384e-05,0.12833932273208062,194,2291
0.06999999999999999,313.9048960515463,5713829.46244479,5.493774326215803e-05,0.13132108203945875,194,2225
0.08,313.5562180515463,5585622.392700542,5.6136307828705166e-05,0.13267210851624467,192,2179
0.09,313.5562180515463,5426084.780793673,5.778682617739755e-05,0.13460839004083985,192,2126
0.09999999999999999,310.25929657731956,5292020.4752612775,5.862775815545223e-05,0.1348695925893447,190,2069
0.11,310.0849575773195,5142669.525009456,6.029649699817127e-05,0.13673710803486708,189,2023
0.12,309.91061857731955,5000965.456125604,6.197015782176918e-05,0.1385828630959781,188,1980
0.13,309.7362795773195,4909565.072423867,6.308833369315173e-05,0.13978821753942378,187,1932
0.14,303.3167756288659,4831898.221514046,6.277383374474793e-05,0.13798679953285184,184,1904
0.15000000000000002,296.5485936804123,4768530.221480556,6.218867867179805e-05,0.13580119735468005,179,1882
0.16,293.42601120618554,4664914.577434323,6.290061829332966e-05,0.13585535516943947,178,1838
0.17,290.3034287319587,4567338.271040536,6.356074621681601e-05,0.1358377803098371,177,1796
0.18000000000000002,289.78041173195874,4465140.926884766,6.489837979965672e-05,0.13713598805230362,174,1752
0.19,289.78041173195874,4345172.347049005,6.669019974058362e-05,0.13901623480483455,174,1714
0.2,289.78041173195874,4264595.246811182,6.795027311176595e-05,0.14032340545905583,174,1688
0.21000000000000002,289.78041173195874,4206423.251181658,6.888997954510505e-05,0.14129036285885443,174,1661
0.22,286.6578292577319,4092592.160189353,7.004309690229898e-05,0.14169827843873753,173,1629
0.23,286.48349025773194,3995847.3246479235,7.169530439528847e-05,0.14331615763148534,172,1594
0.24000000000000002,286.30915125773197,3905138.384054146,7.331600652791673e-05,0.14488286165939082,171,1556
0.25,286.1348122577319,3843510.902571615,7.444620804022824e-05,0.14595085392312976,170,1529
0.26,286.1348122577319,3783475.5436376724,7.562750411824357e-05,0.14710425450133816,170,1500
0.27,279.7153083092783,3726371.717443166,7.506371600018577e-05,0.1449015888934006,167,1474
0.28,279.7153083092783,3646269.5272771856,7.671273508904671e-05,0.14648456009655317,167,1450
0.29000000000000004,279.7153083092783,3548589.8977173693,7.882435456664215e-05,0.14848696454533705,167,1419
0.3,276.5927258350515,3468331.5169372237,7.974806459080994e-05,0.14851846540158525,166,1383
0.31,273.1214653608247,3407833.026340428,8.014520173076726e-05,0.1479505827577102,163,1350
0.32,273.1214653608247,3324729.7456989028,8.214847107923682e-05,0.14978821982489973,163,1326
0.33,272.9471263608247,3221028.8467355384,8.473911267123618e-05,0.15208319201667245,162,1295
0.34,272.7727873608247,3167772.686441806,8.610869982189792e-05,0.15325831157374678,161,1270
0.35000000000000003,263.2307009381443,3112823.913894373,8.456331235544359e-05,0.1491967157311938,157,1238
0.36000000000000004,263.0563619381443,3085997.9655815354,8.524191035510715e-05,0.1497445385403819,156,1223
0.37,262.8820229381443,3003414.6867277743,8.752771440448497e-05,0.151688703026307,155,1197
0.38,259.5851014639175,2859582.3957453524,9.07772763778875e-05,0.15350709592449466,153,1157
0.39,256.2881799896907,2755799.3593660607,9.299957891297529e-05,0.15438488533342265,151,1121
0.4,246.9204325670103,2646604.0752349696,9.329708016303433e-05,0.15177929829556952,148,1088
0.41000000000000003,243.27483309278347,2599302.809217431,9.35923403114491e-05,0.150892879116381,144,1062
0.42000000000000004,239.97791161855667,2524781.0604071366,9.5048998656485e-05,0.15102867343328638,142,1037
0.43,233.73274667010304,2429847.614006147,9.619234775169393e-05,0.14994432849777659,140,1008
