qcd_threshold,top_threshold,signal_events_450fb,background_events_450fb,S_over_B,S_over_sqrtB,S_over_10pctB,n_signal_test_rows,n_background_test_rows,neff_signal,neff_background,mode
0.55,0.5,70.92998248927037,712715.3558418406,9.952077208367391e-05,0.08401789464878097,0.0009952077208367392,94,1211,57.03744788930928,177.843799116598,lbn_p4_only
0.6,0.5,66.87115502641137,634891.0697295049,0.0001053269737356706,0.08392458751248522,0.001053269737356706,89,1093,53.79867857858676,166.52889111675788,lbn_p4_only
0.575,0.5,68.32900172003961,670060.7379906441,0.00010197434030374972,0.08347337823530816,0.001019743403037497,92,1144,55.041805302456055,170.3362354509097,lbn_p4_only
0.55,0.525,69.55081395014857,707023.2674125948,9.837132263648839e-05,0.08271520754202603,0.0009837132263648839,92,1193,55.9170121289584,175.22492029410213,lbn_p4_only
0.6,0.525,65.49198648728952,629509.134936312,0.00010403659431235324,0.08254431069969789,0.0010403659431235323,87,1078,52.6782323518887,163.9477468943624,lbn_p4_only
0.575,0.525,66.9498331809178,664472.0341067491,0.00010075643480002673,0.08213176305039246,0.0010075643480002671,90,1127,53.9213324509384,167.72429910480835,lbn_p4_only
0.55,0.575,68.01428910201388,691319.0839330168,9.838335246738814e-05,0.08180142894560136,0.0009838335246738813,88,1152,54.5518694831683,168.1253097489401,lbn_p4_only
0.525,0.5,71.0086606437768,759287.177059077,9.352016310720854e-05,0.08149074502930027,0.0009352016310720854,95,1258,57.160042704506466,176.77604558786646,lbn_p4_only
0.6,0.575,63.95546163915484,616133.8717338598,0.00010380124283571367,0.08147795041774236,0.0010380124283571367,83,1041,51.312986420824075,157.6082351106775,lbn_p4_only
0.55,0.55,68.09296725652031,698584.4072469072,9.747278431946675e-05,0.0814690807059176,0.0009747278431946675,89,1173,54.67416127831325,171.40394373303923,lbn_p4_only
0.6,0.55,64.03413979366128,621915.5045599003,0.0001029627647552784,0.08119810386875644,0.001029627647552784,84,1060,51.43532047295522,160.35108884612893,lbn_p4_only
0.575,0.575,65.41330833278309,649613.080416447,0.00010069579924537329,0.08115938247580269,0.0010069579924537329,86,1088,52.55573503634005,160.89277245087376,lbn_p4_only
0.575,0.55,65.49198648728952,656878.4037303374,9.970184149055292e-05,0.08080638375559925,0.0009970184149055291,87,1109,52.6782323518887,164.2275391545942,lbn_p4_only
0.5,0.5,71.24469510729614,784437.1907037086,9.082268912235463e-05,0.0804402560621664,0.0009082268912235463,98,1329,57.52856585036235,187.7677470690706,lbn_p4_only
0.525,0.525,69.629492104655,753505.5442330365,9.240740514461391e-05,0.08021396815348653,0.0009240740514461391,93,1239,56.03958400452513,174.27791604606716,lbn_p4_only
0.675,0.5,58.83217825519975,547464.8762287423,0.00010746292741275046,0.07951275433144375,0.0010746292741275045,80,908,47.44402150227763,138.6631143052047,lbn_p4_only
0.6,0.6,61.354480869924075,597766.2173863114,0.00010263959234463267,0.07935615228201007,0.0010263959234463266,81,1021,49.31692307874911,161.32914224932608,lbn_p4_only
0.525,0.575,68.09296725652031,736852.7464188315,9.241054958057504e-05,0.0793253334486981,0.0009241054958057503,89,1195,54.67416127831325,167.20996921830752,lbn_p4_only
0.5,0.525,69.86552656817433,778166.3154480259,8.978225500283902e-05,0.07920028107432102,0.0008978225500283901,96,1305,56.40805284171753,184.97448733778052,lbn_p4_only
0.575,0.6,62.81232756355233,629658.3510356976,9.97562050280681e-05,0.07915756076787549,0.0009975620502806811,84,1065,50.5599357113066,163.2921164194607,lbn_p4_only
0.625,0.5,78.37657226642455,408549.3680409936,0.00019184112960997235,0.12262075745381985,0.0019184112960997236,111,716,63.50093008121219,131.2621105655878,lbn_p4_plus_topology
0.825,0.5,57.76772233410367,224212.15032240888,0.00025764759961061784,0.12199883193848411,0.0025764759961061784,82,458,46.816147030806896,157.41591283533614,lbn_p4_plus_topology
0.875,0.5,49.49271109937272,170390.4615473873,0.0002904664419000256,0.11989984025435856,0.002904664419000256,70,352,40.09285923685455,114.82912124761853,lbn_p4_plus_topology
0.625,0.6,75.5395570336745,401410.0762665025,0.0001881855028061692,0.11922856001033195,0.0018818550280616918,106,699,61.136478880297425,128.16886502267477,lbn_p4_plus_topology
0.55,0.5,81.13490934466822,463690.30646260665,0.0001749765052533208,0.11914991771367299,0.0017497650525332077,115,803,65.74202581636983,142.32033850209243,lbn_p4_plus_topology
0.6,0.5,78.37657226642455,433430.168744894,0.00018082860381727375,0.11904925927917911,0.0018082860381727374,111,750,63.50093008121219,127.81326208726738,lbn_p4_plus_topology
0.525,0.5,82.59275603829647,481379.4730326268,0.00017157515154930282,0.11904144082690411,0.001715751515493028,118,836,66.98607130822063,151.1702830290914,lbn_p4_plus_topology
0.625,0.575,75.69691334268737,405171.1524758637,0.00018682700601987373,0.11892109856858922,0.0018682700601987373,108,702,61.38330856762472,129.28059638173983,lbn_p4_plus_topology
0.7,0.5,70.41627364971937,350764.72699416825,0.00020075072614382375,0.11889540810108423,0.0020075072614382378,103,633,57.272203734035834,121.7579222193386,lbn_p4_plus_topology
0.625,0.55,75.7755914971938,407275.95507878845,0.00018605466527611442,0.11873669320016443,0.0018605466527611442,109,710,61.50689778814665,130.50745980377198,lbn_p4_plus_topology
0.575,0.5,79.83441896005283,452180.6807758682,0.00017655424557959886,0.1187228099851825,0.0017655424557959883,114,778,64.7449658111497,136.04695508489758,lbn_p4_plus_topology
0.625,0.525,75.7755914971938,408549.3680409936,0.0001854747490139075,0.11855150279234086,0.0018547474901390748,109,716,61.50689778814665,131.2621105655878,lbn_p4_plus_topology
0.875,0.6,48.03486440574447,164392.71304966873,0.00029219582495260284,0.11847188202912505,0.002921958249526028,67,340,38.84900608961727,113.07584633807537,lbn_p4_plus_topology
