process,region,n_generated,candidate_rows_total,rows_pass_region,eff_vs_generated,eff_vs_candidates,mg5_region_xsec_fb,official_whatif_region_xsec_fb,mg5_expected_events_450fb,official_whatif_expected_events_450fb
ggF,all_candidates,10000,641,641,0.0641,1.0,0.063742963,0.676255,28.68433335,304.31475
ggF,rhh_125_125_lt_30,10000,641,336,0.0336,0.5241809672386896,0.033412848,0.35448,15.035781600000002,159.51600000000002
ggF,rhh_125_125_lt_55,10000,641,536,0.0536,0.8361934477379095,0.053301448,0.5654800000000001,23.9856516,254.46600000000004
ggF,mhh_gt_400,10000,641,174,0.0174,0.2714508580343214,0.017303082,0.18357,7.7863869,82.60650000000001
ggF,mhh_gt_600,10000,641,55,0.0055,0.08580343213728549,0.0054693649999999995,0.058025,2.46121425,26.111250000000002
ggF,rhh_lt_30_and_mhh_gt_400,10000,641,67,0.0067,0.10452418096723869,0.006662681,0.07068500000000001,2.99820645,31.808250000000005
ggF,rhh_lt_55_and_mhh_gt_400,10000,641,103,0.0103,0.1606864274570983,0.010242629000000001,0.10866500000000001,4.60918305,48.89925
VBF,all_candidates,10000,694,694,0.0694,1.0,0.065575159882,0.0407378,29.508821946899996,18.33201
VBF,rhh_125_125_lt_30,10000,694,341,0.0341,0.49135446685878964,0.032220647723,0.0200167,14.499291475349999,9.007515
VBF,rhh_125_125_lt_55,10000,694,520,0.052,0.7492795389048992,0.04913412556,0.030523999999999996,22.110356502,13.735799999999998
VBF,mhh_gt_400,10000,694,409,0.0409,0.5893371757925072,0.038645879527,0.024008299999999996,17.39064578715,10.803734999999998
VBF,mhh_gt_600,10000,694,178,0.0178,0.2564841498559078,0.016818989133999998,0.010448599999999999,7.568545110299999,4.7018699999999995
VBF,rhh_lt_30_and_mhh_gt_400,10000,694,175,0.0175,0.2521613832853026,0.016535523025000002,0.0102725,7.440985361250001,4.622625
VBF,rhh_lt_55_and_mhh_gt_400,10000,694,267,0.0267,0.38472622478386165,0.025228483701,0.0156729,11.35281766545,7.052805
