qcd_threshold,top_threshold,signal_xsec_pb,background_xsec_pb,signal_events_450fb,background_events_450fb,S_over_B,S_over_sqrtB,S_over_10pctB,n_signal_test_rows,n_background_test_rows,neff_signal,neff_background
0.875,0.65,9.501334716319905e-05,0.07198880218020429,42.75600622343957,32394.96098109193,0.0013198350894262569,0.2375518412840089,0.013198350894262568,55,36,31.682002916052706,14.594295621624337
0.875,0.6,0.0001014372695256013,0.0823847616274531,45.64677128652058,37073.142732353896,0.0012312625238184742,0.23707205406459445,0.012312625238184742,58,38,33.78349587798438,16.218175442017078
0.875,0.55,0.00010456807971078648,0.08974626534209465,47.055635869853916,40385.819403942594,0.001165152436284608,0.23415163628444216,0.011651524362846081,59,39,34.78172856236489,17.03954585674073
0.875,0.625,9.830645934041612e-05,0.07935030589484583,44.23790670318725,35707.63765268063,0.0012388920021391065,0.23410678932050358,0.012388920021391065,57,37,32.78538073036247,15.383941921926448
0.875,0.575,0.0001014372695256013,0.08974626534209465,45.64677128652058,40385.819403942594,0.001130267305708409,0.22714104251830755,0.01130267305708409,58,39,33.78349587798438,17.03954585674073
0.875,0.525,0.00010473038170281834,0.09710776905673618,47.128671766268255,43698.49607553128,0.0010784964243347882,0.225450890403139,0.01078496424334788,60,40,34.886859816901655,17.897661825593726
0.875,0.5,0.00010473038170281834,0.09710776905673618,47.128671766268255,43698.49607553128,0.0010784964243347882,0.225450890403139,0.01078496424334788,60,40,34.886859816901655,17.897661825593726
0.875,0.675,8.216550243839457e-05,0.06437655962568278,36.97447609727756,28969.451831557253,0.0012763263976227608,0.21723604645920794,0.012763263976227608,49,34,27.479355699834038,13.775798596801167
0.85,0.6,0.0001603886847314446,0.24562994332497295,72.17490812915007,110533.47449623783,0.0006529687812501239,0.21708975516576265,0.006529687812501239,92,107,53.433655638469546,57.18695986990204
0.85,0.625,0.00015725787454625941,0.23936316742701913,70.76604354581674,107713.4253421586,0.0006569844318015499,0.21562047423608027,0.006569844318015499,91,104,52.43554593327836,55.27300820883525
0.85,0.65,0.00015083395218385716,0.22738512700708985,67.87527848273572,102323.30715319043,0.0006633413282969655,0.21218972026765187,0.006633413282969654,88,100,50.33413159289935,53.23601787701231
0.85,0.55,0.0001635194949166298,0.2798522773993266,73.58377271248341,125933.52482969698,0.0005843064649543683,0.20735350036022274,0.005843064649543683,93,114,54.43184078110403,62.432136995610804
0.85,0.575,0.0001603886847314446,0.2737833659341121,72.17490812915007,123202.51467035046,0.0005858233358488376,0.20562525488081973,0.005858233358488376,92,112,53.433655638469546,60.64396211999312
0.85,0.525,0.00016368179690866167,0.28721378111396817,73.65680860889775,129246.20150128567,0.000569895345111284,0.20488209380510436,0.0056989534511128394,94,115,54.53702302035569,63.036702538226514
0.85,0.5,0.00016368179690866167,0.28721378111396817,73.65680860889775,129246.20150128567,0.000569895345111284,0.20488209380510436,0.0056989534511128394,94,115,54.53702302035569,63.036702538226514
0.875,0.7,7.277307188283903e-05,0.06134210389307552,32.74788234727756,27603.946751883985,0.0011863478306790496,0.19710499532489142,0.011863478306790494,46,33,24.486904673890468,12.902645909426498
0.875,0.725,7.261076989080715e-05,0.06134210389307552,32.67484645086322,27603.946751883985,0.001183701980900001,0.19666540231949836,0.01183701980900001,45,33,24.380772265003863,12.902645909426498
0.85,0.725,0.00011542122819462889,0.15817890079198121,51.939552687583,71180.50535639154,0.0007296878889455535,0.19467835666395686,0.007296878889455533,71,77,38.724965877429476,38.77212984984586
0.85,0.675,0.0001348552972738675,0.21819080347988787,60.68488377324037,98185.86156594954,0.0006180613257895538,0.19366718803213392,0.006180613257895538,81,96,45.133760211149706,52.02905846370013
0.85,0.75,0.0001086727018481629,0.14420825804899173,48.902715831673305,64893.71612204628,0.0007535816833127796,0.19196924471122684,0.007535816833127797,66,70,36.41228647762575,34.29006410977852
