feature,importance_qcd
r_hh,0.20262894612612856
drbb1,0.1799102452755935
pt_sum4,0.1242949844889004
ht_pt30_eta25,0.09773717298721214
ht_over_mhh,0.09010037991309883
mbb2,0.052864757301396045
n_bjet_pt30_eta25,0.041214022815405975
n_extra_bjets_pt30_eta25,0.03779476535377376
mhh,0.03429683850498927
j1_pt,0.0292701367913385
mbb1,0.024693258960057727
j3_pt,0.021168785206786517
avg_mbb,0.013401978905254306
drbb2,0.011085149226671752
j4_pt,0.008675346946087212
j2_pt,0.008441407570500666
delta_mbb,0.008221757132113485
pt_asym_12,0.007018692202666258
pt_asym_34,0.004379222752683436
n_jet_pt30_eta25,0.0017593473857265116
n_extra_jets_pt30_eta25,0.0010428041536149999
