qcd_threshold,top_threshold,signal_events_450fb,background_events_450fb,S_over_B,S_over_sqrtB,S_over_10pctB,n_signal_test_rows,n_background_test_rows,neff_signal,neff_background
0.95,0.8,177.48523270410718,16880.70669199766,0.010514087824785467,1.3660509962126117,0.10514087824785467,278,21,134.74761927112104,7.346586608242784
0.95,0.75,207.41255330061978,26791.32876163644,0.007741779257982232,1.2671788362294694,0.07741779257982231,323,27,157.35757136079496,10.284965975560528
0.95,0.775,188.19744562090415,23307.373022662137,0.008074588476269578,1.2327274336502467,0.08074588476269579,297,23,143.01203091989638,9.139367682927096
0.925,0.8,252.85195890619835,44288.74034938833,0.005709170252111053,1.2014886108387686,0.057091702521110524,398,47,192.08199167874326,18.91473047542029
0.925,0.75,316.26337618032386,69316.56057561777,0.004562594761684845,1.2012417006885454,0.04562594761684845,482,62,239.3194022072783,26.95305457453749
0.925,0.775,281.0087011174805,55368.57146186669,0.005075238419524985,1.1942303614178675,0.05075238419524984,437,52,213.15665611245038,22.457868185221667
0.9,0.75,426.43041836597143,139019.0852117082,0.0030674235678976934,1.143696950841548,0.030674235678976928,659,133,323.2200522595997,61.311732472340715
0.9,0.725,470.6267279603813,170844.64111212446,0.0027547058245245832,1.1386123961600843,0.027547058245245826,717,146,356.1124576333199,70.87742542930354
0.925,0.725,348.78125071522726,95113.43342282303,0.003667003052710062,1.1309208244173292,0.03667003052710061,526,71,263.59937584634446,34.677486230406366
0.925,0.825,211.8468089190157,35237.37842527274,0.006011991197593638,1.1285482490613432,0.06011991197593638,329,36,160.66818565468077,15.375204153234613
0.925,0.85,169.1442038413771,22511.406467755194,0.007513711063929091,1.1273423064014019,0.0751371106392909,255,27,127.82943173251869,10.99252143981494
0.9,0.775,382.1609854767869,115764.76653432936,0.0033011856449730696,1.1232027240550704,0.03301185644973069,600,117,290.2219709179219,53.78954215981312
0.95,0.725,228.10574618646731,42857.99458829763,0.005322361635855718,1.1018444864957555,0.053223616358557185,351,32,172.80738171562925,15.128175890386162
0.9,0.8,340.2627366416692,96751.9509852101,0.0035168565923149515,1.0939173864956078,0.035168565923149514,537,100,258.568345007086,45.272247022375794
0.9,0.7,503.43709567438304,215615.00318477463,0.002334888983782612,1.0841908174844637,0.023348889837826115,765,171,380.82248996798273,85.60507225631659
0.9,0.675,532.1788242438623,246967.0664137591,0.002154857455172871,1.070873245023434,0.021548574551728705,812,193,402.75960920850156,98.36435488757093
0.9,0.825,288.7647436220135,73611.5608674312,0.003922817832134504,1.064317380094952,0.039228178321345036,452,78,219.21377207894642,35.27105778344559
0.925,0.675,396.2262239009996,141131.7068311696,0.0028074926095451374,1.05470479059784,0.028074926095451373,592,97,299.131538329814,49.88926189451256
0.875,0.725,581.6293650098283,304592.13254058565,0.0019095350892962693,1.0538698598268077,0.019095350892962694,869,263,439.1013068903071,134.25603585568794
0.925,0.7,372.5768606028881,128957.21926626911,0.0028891508573366215,1.037511810166333,0.028891508573366215,560,86,281.4727985536964,45.43875874768149
