feature,importance_top
r_hh,0.14918404613439906
mbb2,0.09124031321992113
ht_over_mhh,0.08243055914695675
n_extra_jets_pt30_eta25,0.06963798751447148
n_jet_pt30_eta25,0.06605233890249412
drbb2,0.05360163890339731
pt_asym_34,0.051100021591033516
pt_asym_12,0.05029447148516364
mbb1,0.048394116225473585
j4_pt,0.04719582786130347
ht_pt30_eta25,0.04102532081545881
j1_pt,0.038699756393513425
delta_mbb,0.03826543547318798
avg_mbb,0.03639534993818834
drbb1,0.03428244418854965
j2_pt,0.02727328022931355
mhh,0.025047353953585545
pt_sum4,0.022238164413684126
j3_pt,0.015877779558556675
n_bjet_pt30_eta25,0.006981598223915463
n_extra_bjets_pt30_eta25,0.004782195827432454
