seed,qcd_threshold,top_threshold,signal_events_450fb,background_events_450fb,S_over_B,S_over_sqrtB,S_over_10pctB,n_signal_test_rows,n_background_test_rows,neff_signal,neff_background
10,0.875,0.75,21.165733597325087,61112.0195075367,0.00034634321967898316,0.08561897173503777,0.003463432196789831,54,51,17.53060874639019,27.41309074990975
10,0.85,0.75,23.15065305847243,89543.94979761264,0.00025853955639434673,0.07736510564832758,0.0025853955639434678,63,87,19.456191420729294,45.90257581152605
10,0.8,0.5,86.04731820106113,307834.3745828429,0.0002795247227268457,0.155088209614852,0.002795247227268457,145,276,66.37519195304486,129.96032333689007
10,0.825,0.525,72.96850750856638,231062.97804875352,0.0003157948890158001,0.15179947868921123,0.003157948890158001,129,199,56.658218200951396,87.04159909461185
10,0.8,0.775,40.85901659224052,155613.0164834137,0.00026256811618709003,0.10357738660480698,0.0026256811618709003,88,157,32.73394212636196,91.76874842244969
10,0.825,0.775,33.51120784072069,105293.63623295994,0.00031826432289391025,0.10327352939056583,0.0031826432289391022,78,109,27.237124999313338,57.36660261758368
10,0.875,0.775,20.944866006963636,52360.46114228015,0.00040001301650208394,0.09153261184778615,0.004000130165020839,51,46,17.17757903012563,24.494971422912897
10,0.85,0.775,22.929785468110982,77527.49257177705,0.0002957632796763286,0.08235161535952482,0.0029576327967632855,60,78,19.09799435936617,40.806961996009996
11,0.875,0.75,26.06305232144824,41669.25640947807,0.0006254743800880486,0.1276783908653309,0.006254743800880486,42,34,20.72549599830026,18.77627819035362
11,0.85,0.75,32.13375197517719,78753.66015809764,0.00040802867969144316,0.1145054251638928,0.004080286796914431,55,72,25.763041381010623,39.493055377097036
11,0.8,0.5,83.04279371350935,268151.85235087574,0.00030968569855280417,0.16036572445801678,0.0030968569855280414,123,237,65.34259151692558,98.69304952833112
11,0.825,0.525,70.08733398432052,209841.5258426818,0.00033400125977384003,0.1530008426282448,0.0033400125977384,103,177,55.097158444092905,69.83358213418222
11,0.8,0.775,39.77917636598979,125129.93458271371,0.00031790295822215793,0.11245406992363195,0.003179029582221579,72,128,32.15251279109335,71.55815306522568
11,0.825,0.775,38.05231876583557,94986.51680724228,0.0004006075814218535,0.12346678657952834,0.004006075814218536,66,96,30.56559075459857,51.50153895213098
11,0.875,0.775,23.293935004957216,33598.77725176146,0.0006932971051420034,0.12708114614805305,0.0069329710514200345,39,31,18.618680095443004,16.605352309184674
11,0.85,0.775,29.36463465868616,65805.60773909949,0.0004462330136834019,0.11447038664850225,0.0044623301368340185,52,65,23.65801129205088,36.26545934265007
12,0.875,0.75,26.59757625706998,44622.41968265873,0.0005960585832463584,0.12591153093174634,0.005960585832463584,49,40,20.289307391181293,21.542649128616855
12,0.85,0.75,32.96196665243431,65403.628579120625,0.0005039776441846691,0.12888791371260327,0.005039776441846691,62,60,25.2209662864415,33.18279905271653
12,0.8,0.5,84.28061420594436,228098.34973034935,0.00036949243300347516,0.1764682668299931,0.0036949243300347517,134,210,63.040102401029976,112.99100445057206
12,0.825,0.525,76.3431695286681,150966.50282084732,0.0005056960855698227,0.19648522079444253,0.005056960855698228,118,148,56.90873288781288,72.86720628257129
12,0.8,0.775,38.04199583675282,93085.71103740062,0.0004086770720531752,0.124687174455207,0.004086770720531752,76,94,29.378788543079114,55.47140997596319
12,0.825,0.775,34.75154073749586,64751.99722310969,0.0005366867776719819,0.13656753793469098,0.005366867776719819,68,67,26.750228261178744,36.441745633462375
12,0.875,0.775,23.595814228679156,39015.433473524005,0.0006047815474020389,0.1194584155320655,0.00604781547402039,45,33,18.091765586364634,19.10459864773661
12,0.85,0.775,28.459323609848067,55220.29863677626,0.0005153779373241997,0.12110865988724917,0.005153779373241997,56,51,21.92584893583199,29.357366583422557
13,0.875,0.75,24.61732595667073,35753.052429587246,0.0006885377410824591,0.13019200438466508,0.006885377410824591,47,32,19.33278868172212,17.04244850858413
13,0.85,0.75,32.03875723831104,53533.087548794145,0.0005984851370492777,0.13847281327632194,0.0059848513704927764,58,49,24.961794246570005,27.612525162559407
13,0.8,0.5,97.8009233513872,256903.36979265948,0.0003806914772286559,0.19295589647628325,0.0038069147722865587,143,224,74.13134596663073,82.79821221938846
13,0.825,0.525,84.501245068531,170220.79680363066,0.000496421393010003,0.20481266022392225,0.00496421393010003,124,160,64.07678438603813,81.7444255867104
13,0.8,0.775,45.19119046092627,109519.40930255555,0.0004126317951193677,0.13655519779002648,0.004126317951193677,75,98,34.789247583581364,34.930084540623746
