seed,working_point,qcd_threshold,top_threshold,sample,group,rows,xsec_pb,expected_events_450fb
10,loose_best_sqrtB,0.8,0.5,VBF_HH4b_SMnorm,signal,88,1.4397294779116462e-05,6.478782650602408
10,loose_best_sqrtB,0.8,0.5,Zbbbb_100k,background,53,0.010321397620869565,4644.628929391304
10,loose_best_sqrtB,0.8,0.5,ggF_HH4b_SMnorm,signal,57,0.00017681896788990825,79.56853555045872
10,loose_best_sqrtB,0.8,0.5,qcd_bbbb_iht100to200_20000,background,1,0.0281156121995714,12652.025489807129
10,loose_best_sqrtB,0.8,0.5,qcd_bbbb_iht200to400_combined120k,background,109,0.3319176791851338,149362.95563331022
10,loose_best_sqrtB,0.8,0.5,qcd_bbbb_iht400to600_20000,background,56,0.07859067026509681,35365.80161929356
10,loose_best_sqrtB,0.8,0.5,qcd_bbbb_iht600plus_20000,background,26,0.006538481450348448,2942.3166526568016
10,loose_best_sqrtB,0.8,0.5,ttbar_200k,background,31,0.22859254724085337,102866.64625838402
10,nominal_balanced,0.825,0.525,VBF_HH4b_SMnorm,signal,81,1.3252055421686744e-05,5.963424939759035
10,nominal_balanced,0.825,0.525,Zbbbb_100k,background,39,0.007594990702149302,3417.7458159671855
10,nominal_balanced,0.825,0.525,ggF_HH4b_SMnorm,signal,48,0.00014890018348623853,67.00508256880734
10,nominal_balanced,0.825,0.525,qcd_bbbb_iht100to200_20000,background,1,0.0281156121995714,12652.025489807129
10,nominal_balanced,0.825,0.525,qcd_bbbb_iht200to400_combined120k,background,68,0.20706790995035862,93180.55947766137
10,nominal_balanced,0.825,0.525,qcd_bbbb_iht400to600_20000,background,42,0.0589430026988226,26524.35121447017
10,nominal_balanced,0.825,0.525,qcd_bbbb_iht600plus_20000,background,21,0.005281081171435286,2376.486527145879
10,nominal_balanced,0.825,0.525,ttbar_200k,background,28,0.2064706878304482,92911.80952370168
10,higher_purity,0.875,0.75,VBF_HH4b_SMnorm,signal,41,6.707830522088353e-06,3.018523734939759
10,higher_purity,0.875,0.75,Zbbbb_100k,background,11,0.0021421768647087776,963.9795891189499
10,higher_purity,0.875,0.75,ggF_HH4b_SMnorm,signal,13,4.0327133027522946e-05,18.147209862385324
10,higher_purity,0.875,0.75,qcd_bbbb_iht200to400_combined120k,background,18,0.054812093810389054,24665.442214675073
10,higher_purity,0.875,0.75,qcd_bbbb_iht400to600_20000,background,8,0.011227238609299544,5052.257374184795
10,higher_purity,0.875,0.75,qcd_bbbb_iht600plus_20000,background,5,0.0012574002789131628,565.8301255109233
10,higher_purity,0.875,0.75,ttbar_200k,background,9,0.06636557823121549,29864.51020404697
10,intermediate,0.85,0.75,VBF_HH4b_SMnorm,signal,49,8.01667550200803e-06,3.607503975903614
10,intermediate,0.85,0.75,Zbbbb_100k,background,17,0.003310636972731747,1489.7866377292862
10,intermediate,0.85,0.75,ggF_HH4b_SMnorm,signal,14,4.342922018348625e-05,19.543149082568814
10,intermediate,0.85,0.75,qcd_bbbb_iht200to400_combined120k,background,30,0.09135348968398171,41109.070357791774
10,intermediate,0.85,0.75,qcd_bbbb_iht400to600_20000,background,20,0.028068096523248865,12630.643435461989
10,intermediate,0.85,0.75,qcd_bbbb_iht600plus_20000,background,10,0.0025148005578263257,1131.6602510218465
10,intermediate,0.85,0.75,ttbar_200k,background,10,0.07373953136801721,33182.789115607746
11,loose_best_sqrtB,0.8,0.5,VBF_HH4b_SMnorm,signal,65,1.0987373443983404e-05,4.944318049792532
11,loose_best_sqrtB,0.8,0.5,Zbbbb_100k,background,49,0.009693512598933335,4362.080669520001
11,loose_best_sqrtB,0.8,0.5,ggF_HH4b_SMnorm,signal,58,0.00017355216814159293,78.09847566371681
11,loose_best_sqrtB,0.8,0.5,qcd_bbbb_iht100to200_20000,background,1,0.03193715172184324,14371.718274829458
11,loose_best_sqrtB,0.8,0.5,qcd_bbbb_iht200to400_combined120k,background,85,0.25095383886388833,112929.22748874975
11,loose_best_sqrtB,0.8,0.5,qcd_bbbb_iht400to600_20000,background,44,0.0642392344813314,28907.65551659913
11,loose_best_sqrtB,0.8,0.5,qcd_bbbb_iht600plus_20000,background,27,0.006848267186511596,3081.720233930218
11,loose_best_sqrtB,0.8,0.5,ttbar_200k,background,31,0.2322210003716605,104499.45016724723
11,nominal_balanced,0.825,0.525,VBF_HH4b_SMnorm,signal,54,9.127971784232365e-06,4.107587302904564
11,nominal_balanced,0.825,0.525,Zbbbb_100k,background,36,0.007121764358400001,3204.7939612800005
11,nominal_balanced,0.825,0.525,ggF_HH4b_SMnorm,signal,49,0.0001466216592920354,65.97974668141593
11,nominal_balanced,0.825,0.525,qcd_bbbb_iht100to200_20000,background,1,0.03193715172184324,14371.718274829458
11,nominal_balanced,0.825,0.525,qcd_bbbb_iht200to400_combined120k,background,58,0.1712390900483003,77057.59052173512
11,nominal_balanced,0.825,0.525,qcd_bbbb_iht400to600_20000,background,33,0.04817942586099855,21680.741637449348
11,nominal_balanced,0.825,0.525,qcd_bbbb_iht600plus_20000,background,22,0.005580069559379818,2511.031301720918
11,nominal_balanced,0.825,0.525,ttbar_200k,background,27,0.2022570003237043,91015.65014566694
11,higher_purity,0.875,0.75,VBF_HH4b_SMnorm,signal,24,4.056876348547718e-06,1.8255943568464732
11,higher_purity,0.875,0.75,Zbbbb_100k,background,5,0.0009891339386666669,445.1102724000001
11,higher_purity,0.875,0.75,ggF_HH4b_SMnorm,signal,18,5.386101769911504e-05,24.237457964601766
11,higher_purity,0.875,0.75,qcd_bbbb_iht200to400_combined120k,background,12,0.03542877725137246,15942.949763117607
11,higher_purity,0.875,0.75,qcd_bbbb_iht400to600_20000,background,7,0.010219878212939086,4598.945195822589
11,higher_purity,0.875,0.75,qcd_bbbb_iht600plus_20000,background,4,0.0010145581017054217,456.5511457674398
11,higher_purity,0.875,0.75,ttbar_200k,background,6,0.04494600007193429,20225.70003237043
11,intermediate,0.85,0.75,VBF_HH4b_SMnorm,signal,33,5.578204979253112e-06,2.5101922406639003
11,intermediate,0.85,0.75,Zbbbb_100k,background,10,0.0019782678773333337,890.2205448000002
11,intermediate,0.85,0.75,ggF_HH4b_SMnorm,signal,22,6.583013274336282e-05,29.62355973451327
11,intermediate,0.85,0.75,qcd_bbbb_iht200to400_combined120k,background,27,0.07971474881558804,35871.636967014616
11,intermediate,0.85,0.75,qcd_bbbb_iht400to600_20000,background,16,0.023359721629575055,10511.874733308774
11,intermediate,0.85,0.75,qcd_bbbb_iht600plus_20000,background,10,0.0025363952542635545,1141.3778644185995
11,intermediate,0.85,0.75,ttbar_200k,background,9,0.06741900010790144,30338.55004855565
12,loose_best_sqrtB,0.8,0.5,VBF_HH4b_SMnorm,signal,79,1.2670418110236223e-05,5.7016881496063005
12,loose_best_sqrtB,0.8,0.5,Zbbbb_100k,background,47,0.009213402830850544,4146.031273882744
12,loose_best_sqrtB,0.8,0.5,ggF_HH4b_SMnorm,signal,55,0.00017461983568075123,78.57892605633805
12,loose_best_sqrtB,0.8,0.5,qcd_bbbb_iht200to400_combined120k,background,79,0.23420093199802983,105390.41939911342
12,loose_best_sqrtB,0.8,0.5,qcd_bbbb_iht400to600_20000,background,34,0.049108247477349605,22098.71136480732
12,loose_best_sqrtB,0.8,0.5,qcd_bbbb_iht600plus_20000,background,21,0.0054152038678526885,2436.84174053371
12,loose_best_sqrtB,0.8,0.5,ttbar_200k,background,29,0.20894743544891586,94026.34595201214
12,nominal_balanced,0.825,0.525,VBF_HH4b_SMnorm,signal,68,1.0906182677165355e-05,4.90778220472441
12,nominal_balanced,0.825,0.525,Zbbbb_100k,background,39,0.007645164051131297,3440.3238230090838
12,nominal_balanced,0.825,0.525,ggF_HH4b_SMnorm,signal,50,0.00015874530516431928,71.43538732394367
12,nominal_balanced,0.825,0.525,qcd_bbbb_iht200to400_combined120k,background,45,0.1334055941760929,60032.517379241806
12,nominal_balanced,0.825,0.525,qcd_bbbb_iht400to600_20000,background,27,0.03899772593789527,17548.97667205287
12,nominal_balanced,0.825,0.525,qcd_bbbb_iht600plus_20000,background,16,0.004125869613602048,1856.6413261209218
12,nominal_balanced,0.825,0.525,ttbar_200k,background,21,0.1513067636009391,68088.04362042258
12,higher_purity,0.875,0.75,VBF_HH4b_SMnorm,signal,32,5.132321259842519e-06,2.3095445669291337
12,higher_purity,0.875,0.75,Zbbbb_100k,background,9,0.0017642686271841456,793.9208822328656
12,higher_purity,0.875,0.75,ggF_HH4b_SMnorm,signal,17,5.397340375586855e-05,24.288031690140848
12,higher_purity,0.875,0.75,qcd_bbbb_iht200to400_combined120k,background,15,0.04446853139203097,20010.839126413935
12,higher_purity,0.875,0.75,qcd_bbbb_iht400to600_20000,background,6,0.008666161319532285,3899.772593789528
12,higher_purity,0.875,0.75,qcd_bbbb_iht600plus_20000,background,4,0.001031467403400512,464.16033153023045
