working_point,sample,group,mean_expected_events_450fb,std_expected_events_450fb,median_rows,fraction_within_group
higher_purity,VBF_HH4b_SMnorm,signal,2.155137632404842,0.3818348433298353,30.0,0.08075030784740564
higher_purity,Zbbbb_100k,background,662.3004781237362,197.53649133556385,7.5,0.015884182263715553
higher_purity,ggF_HH4b_SMnorm,signal,24.53377154769908,4.2991854558512825,18.0,0.9192496921525943
higher_purity,qcd_bbbb_iht200to400_combined120k,background,17849.069538667165,4024.1298209181477,12.0,0.42808043049148076
higher_purity,qcd_bbbb_iht400to600_20000,background,3862.4845847643824,1571.0210041662074,6.0,0.09263530853699126
higher_purity,qcd_bbbb_iht600plus_20000,background,642.121673500835,226.25332438114248,5.0,0.015400226988004298
higher_purity,ttbar_200k,background,18679.621718467155,6563.645962220934,6.0,0.4479998517198081
intermediate,VBF_HH4b_SMnorm,signal,2.688144182508465,0.38432442123014704,36.0,0.08018021764821683
intermediate,Zbbbb_100k,background,1085.385624829228,224.13638896860883,12.0,0.014913033646754132
intermediate,ggF_HH4b_SMnorm,signal,30.83813276403769,4.980919821909998,22.0,0.9198197823517832
intermediate,qcd_bbbb_iht100to200_20000,background,12984.973529012581,,1.0,0.17841156425011992
intermediate,qcd_bbbb_iht200to400_combined120k,background,28528.176765092445,5652.405536223356,21.0,0.3919728161549137
intermediate,qcd_bbbb_iht400to600_20000,background,6797.714888438588,2485.595778227625,10.5,0.09339957019264578
intermediate,qcd_bbbb_iht600plus_20000,background,1026.255986264775,307.5294827830984,8.5,0.014100601392944948
intermediate,ttbar_200k,background,22358.501453163022,8199.208959763542,6.0,0.30720241436262147
loose_best_sqrtB,VBF_HH4b_SMnorm,signal,5.4500798829765085,0.5672688376356261,72.5,0.062006913230750325
loose_best_sqrtB,Zbbbb_100k,background,4378.10738001262,442.67704027599405,50.0,0.01741379026144718
loose_best_sqrtB,ggF_HH4b_SMnorm,signal,82.44463377088293,7.7344601013087715,61.0,0.9379930867692496
loose_best_sqrtB,qcd_bbbb_iht100to200_20000,background,16582.11624718854,5531.186634270511,1.0,0.06595486801848256
loose_best_sqrtB,qcd_bbbb_iht200to400_combined120k,background,106389.51988613648,17938.98903900718,76.5,0.4231611115275807
loose_best_sqrtB,qcd_bbbb_iht400to600_20000,background,24422.081872543124,3960.55545338178,37.5,0.09713809520019842
loose_best_sqrtB,qcd_bbbb_iht600plus_20000,background,2639.85307701885,644.19087098784,25.0,0.010499936117169815
loose_best_sqrtB,ttbar_200k,background,97004.42993628216,10401.52389161143,29.5,0.3858321988751213
nominal_balanced,VBF_HH4b_SMnorm,signal,4.59275515106404,0.49347962362702874,60.0,0.06182358001310694
nominal_balanced,Zbbbb_100k,background,3247.9342173093983,434.43898180655054,38.0,0.017206460353116217
nominal_balanced,ggF_HH4b_SMnorm,signal,69.69532635586827,6.457003838877261,52.5,0.938176419986893
nominal_balanced,qcd_bbbb_iht100to200_20000,background,14643.617235749049,4330.5885354219945,1.0,0.07757694661742685
nominal_balanced,qcd_bbbb_iht200to400_combined120k,background,73045.48568051083,11862.782525335535,53.5,0.38697035384448486
nominal_balanced,qcd_bbbb_iht400to600_20000,background,18545.05998546455,3068.0356259296595,27.5,0.09824547482688772
nominal_balanced,qcd_bbbb_iht600plus_20000,background,2026.1346032011065,523.8306690404673,18.5,0.010733777960853227
nominal_balanced,ttbar_200k,background,77254.25345218816,12120.394988904694,24.0,0.40926698639723114
