seed,working_point,qcd_threshold,top_threshold,signal_events_450fb,background_events_450fb,S_over_B,S_over_sqrtB,S_over_10pctB,n_signal_test_rows,n_background_test_rows,neff_signal,neff_background
10,loose_best_sqrtB,0.8,0.5,86.04731820106113,307834.3745828429,0.0002795247227268457,0.155088209614852,0.002795247227268457,145,276,66.37519195304486,129.96032333689007
10,nominal_balanced,0.825,0.525,72.96850750856638,231062.97804875352,0.0003157948890158001,0.15179947868921123,0.003157948890158001,129,199,56.658218200951396,87.04159909461185
10,higher_purity,0.875,0.75,21.165733597325087,61112.0195075367,0.00034634321967898316,0.08561897173503777,0.003463432196789831,54,51,17.53060874639019,27.41309074990975
10,intermediate,0.85,0.75,23.15065305847243,89543.94979761264,0.00025853955639434673,0.07736510564832758,0.0025853955639434678,63,87,19.456191420729294,45.90257581152605
11,loose_best_sqrtB,0.8,0.5,83.04279371350935,268151.85235087574,0.00030968569855280417,0.16036572445801678,0.0030968569855280414,123,237,65.34259151692558,98.69304952833112
11,nominal_balanced,0.825,0.525,70.08733398432052,209841.5258426818,0.00033400125977384003,0.1530008426282448,0.0033400125977384,103,177,55.097158444092905,69.83358213418222
11,higher_purity,0.875,0.75,26.06305232144824,41669.25640947807,0.0006254743800880486,0.1276783908653309,0.006254743800880486,42,34,20.72549599830026,18.77627819035362
11,intermediate,0.85,0.75,32.13375197517719,78753.66015809764,0.00040802867969144316,0.1145054251638928,0.004080286796914431,55,72,25.763041381010623,39.493055377097036
12,loose_best_sqrtB,0.8,0.5,84.28061420594436,228098.34973034935,0.00036949243300347516,0.1764682668299931,0.0036949243300347517,134,210,63.040102401029976,112.99100445057206
12,nominal_balanced,0.825,0.525,76.3431695286681,150966.50282084732,0.0005056960855698227,0.19648522079444253,0.005056960855698228,118,148,56.90873288781288,72.86720628257129
12,higher_purity,0.875,0.75,26.59757625706998,44622.41968265873,0.0005960585832463584,0.12591153093174634,0.005960585832463584,49,40,20.289307391181293,21.542649128616855
12,intermediate,0.85,0.75,32.96196665243431,65403.628579120625,0.0005039776441846691,0.12888791371260327,0.005039776441846691,62,60,25.2209662864415,33.18279905271653
13,loose_best_sqrtB,0.8,0.5,97.8009233513872,256903.36979265948,0.0003806914772286559,0.19295589647628325,0.0038069147722865587,143,224,74.13134596663073,82.79821221938846
