seed,working_point,qcd_threshold,top_threshold,sample,group,rows,xsec_pb,expected_events_450fb
10,previous_v2_loose_mid,0.775,0.5,VBF_HH4b_SMnorm,signal,100,1.6360562248995984e-05,7.362253012048193
10,previous_v2_loose_mid,0.775,0.5,Zbbbb_100k,background,65,0.012658317836915506,5696.243026611978
10,previous_v2_loose_mid,0.775,0.5,ggF_HH4b_SMnorm,signal,67,0.00020783983944954126,93.52792775229356
10,previous_v2_loose_mid,0.775,0.5,qcd_bbbb_iht100to200_20000,background,2,0.0562312243991428,25304.050979614258
10,previous_v2_loose_mid,0.775,0.5,qcd_bbbb_iht200to400_combined120k,background,128,0.38977488931832216,175398.70019324496
10,previous_v2_loose_mid,0.775,0.5,qcd_bbbb_iht400to600_20000,background,66,0.09262471852672123,41681.12333702455
10,previous_v2_loose_mid,0.775,0.5,qcd_bbbb_iht600plus_20000,background,33,0.008298841840826875,3734.4788283720936
10,previous_v2_loose_mid,0.775,0.5,ttbar_200k,background,32,0.23596650037765504,106184.92516994476
10,previous_v2_loose_best,0.8,0.5,VBF_HH4b_SMnorm,signal,88,1.4397294779116462e-05,6.478782650602408
10,previous_v2_loose_best,0.8,0.5,Zbbbb_100k,background,53,0.010321397620869565,4644.628929391304
10,previous_v2_loose_best,0.8,0.5,ggF_HH4b_SMnorm,signal,57,0.00017681896788990825,79.56853555045872
10,previous_v2_loose_best,0.8,0.5,qcd_bbbb_iht100to200_20000,background,1,0.0281156121995714,12652.025489807129
10,previous_v2_loose_best,0.8,0.5,qcd_bbbb_iht200to400_combined120k,background,109,0.3319176791851338,149362.95563331022
10,previous_v2_loose_best,0.8,0.5,qcd_bbbb_iht400to600_20000,background,56,0.07859067026509681,35365.80161929356
10,previous_v2_loose_best,0.8,0.5,qcd_bbbb_iht600plus_20000,background,26,0.006538481450348448,2942.3166526568016
10,previous_v2_loose_best,0.8,0.5,ttbar_200k,background,31,0.22859254724085337,102866.64625838402
10,ablation_best_median,0.825,0.5,VBF_HH4b_SMnorm,signal,82,1.3415661044176703e-05,6.037047469879516
10,ablation_best_median,0.825,0.5,Zbbbb_100k,background,39,0.007594990702149302,3417.7458159671855
10,ablation_best_median,0.825,0.5,ggF_HH4b_SMnorm,signal,49,0.00015200227064220183,68.40102178899082
10,ablation_best_median,0.825,0.5,qcd_bbbb_iht100to200_20000,background,1,0.0281156121995714,12652.025489807129
10,ablation_best_median,0.825,0.5,qcd_bbbb_iht200to400_combined120k,background,70,0.2131581425959574,95921.16416818083
10,ablation_best_median,0.825,0.5,qcd_bbbb_iht400to600_20000,background,42,0.0589430026988226,26524.35121447017
10,ablation_best_median,0.825,0.5,qcd_bbbb_iht600plus_20000,background,22,0.005532561227217919,2489.652552248064
10,ablation_best_median,0.825,0.5,ttbar_200k,background,29,0.21384464096724992,96230.08843526247
10,ablation_tighter_qcd_same_top,0.85,0.5,VBF_HH4b_SMnorm,signal,67,1.0961576706827307e-05,4.932709518072288
10,ablation_tighter_qcd_same_top,0.85,0.5,Zbbbb_100k,background,29,0.005647557188777685,2541.4007349499584
10,ablation_tighter_qcd_same_top,0.85,0.5,ggF_HH4b_SMnorm,signal,36,0.00011167513761467889,50.2538119266055
10,ablation_tighter_qcd_same_top,0.85,0.5,qcd_bbbb_iht100to200_20000,background,1,0.0281156121995714,12652.025489807129
10,ablation_tighter_qcd_same_top,0.85,0.5,qcd_bbbb_iht200to400_combined120k,background,47,0.14312046717157137,64404.21022720711
10,ablation_tighter_qcd_same_top,0.85,0.5,qcd_bbbb_iht400to600_20000,background,31,0.04350554961103572,19577.497324966072
10,ablation_tighter_qcd_same_top,0.85,0.5,qcd_bbbb_iht600plus_20000,background,16,0.004023680892522121,1810.6564016349546
10,ablation_tighter_qcd_same_top,0.85,0.5,ttbar_200k,background,24,0.1769748752832413,79638.69387745859
10,ablation_qcd825_looser_top,0.825,0.475,VBF_HH4b_SMnorm,signal,82,1.3415661044176703e-05,6.037047469879516
10,ablation_qcd825_looser_top,0.825,0.475,Zbbbb_100k,background,40,0.007789734053486465,3505.380324068909
10,ablation_qcd825_looser_top,0.825,0.475,ggF_HH4b_SMnorm,signal,50,0.00015510435779816513,69.79696100917431
10,ablation_qcd825_looser_top,0.825,0.475,qcd_bbbb_iht100to200_20000,background,1,0.0281156121995714,12652.025489807129
10,ablation_qcd825_looser_top,0.825,0.475,qcd_bbbb_iht200to400_combined120k,background,73,0.2222934915643556,100032.07120396002
10,ablation_qcd825_looser_top,0.825,0.475,qcd_bbbb_iht400to600_20000,background,42,0.0589430026988226,26524.35121447017
10,ablation_qcd825_looser_top,0.825,0.475,qcd_bbbb_iht600plus_20000,background,22,0.005532561227217919,2489.652552248064
10,ablation_qcd825_looser_top,0.825,0.475,ttbar_200k,background,29,0.21384464096724992,96230.08843526247
