feature,importance_qcd
r_hh_125_120,0.29782088961452435
ht_over_mhh,0.10481741649135486
hh_pt,0.09785653365348662
ht_selected_bjets,0.03542133462742224
ht_selected_jets,0.031533043091390434
mbb1,0.029455258014482327
mbb2,0.02081776120602495
j3_pt,0.020749934828094087
avg_drbb,0.019779208263122627
avg_mbb,0.01902756362436929
h_pt_balance,0.019016597148706293
j1_mass,0.018166820091911146
drbb2,0.01758123416904991
n_extra_selected_bjets,0.017542171361634138
h_delta_phi,0.015799930172863737
h_delta_eta,0.015700096731321545
drbb1,0.014333085091175398
j2_pt,0.014036898098953582
j1_pt,0.012253415211455695
j3_mass,0.010453412126557848
j2_mass,0.010375179711652112
h_delta_r,0.00974446583508342
n_selected_bjets,0.009199725958315141
j4_pt,0.009153104905886356
mhh,0.008997332273933603
j4_mass,0.008936878319259552
j1_eta,0.008394470337380826
pt_asym_34,0.007713039078817383
r_hh,0.007675307329782994
h2_pt,0.007637169026615816
delta_mbb,0.007429457206968861
j4_eta,0.007104681231198916
pt_asym_12,0.006851670805853688
r_hh_125_125,0.006691480729885148
min_drbb,0.006441755908055222
h2_eta,0.00585775519051915
hh_eta,0.005434254768013024
h1_eta,0.005401204186309498
j2_eta,0.005296671535507525
h1_pt,0.004604400009108092
max_drbb,0.004266037512864458
n_extra_selected_jets,0.004237078443119321
ht_candidate_jets,0.0032671250561976395
j3_eta,0.002983678166606153
n_selected_jets,0.002218993801639956
pt_sum4,0.0019244790535250524
