qcd_threshold,top_threshold,signal_events_450fb,background_events_450fb,S_over_B,S_over_sqrtB,S_over_10pctB,n_signal_test_rows,n_background_test_rows,neff_signal,neff_background
0.5,0.5,194.24364661157026,1174619.5643004174,0.00016536728359982521,0.17922484257680285,0.0016536728359982519,272,1067,151.1866823183577,375.24874556524236
0.5,0.525,184.70032450413223,1137911.1387104,0.00016231524432870387,0.17314640712264032,0.0016231524432870387,264,1030,144.09245593040288,359.11845289204075
0.5,0.55,176.20650396694217,1086619.4826095002,0.00016216026565600032,0.1690375505430507,0.001621602656560003,253,985,137.53723027044646,336.5551157245309
0.5,0.575,167.78843553719014,1028624.0809082806,0.00016311929562161528,0.16543739425619367,0.0016311929562161528,243,940,131.09693275423982,312.26342960640363
0.5,0.6,162.15113921487608,971867.6797734178,0.0001668448725989943,0.1644812638694383,0.001668448725989943,236,890,126.76524363301277,288.1359099637806
0.5,0.625,153.88457500000004,917109.9529298448,0.00016779293966704076,0.16068834807995014,0.0016779293966704076,228,838,120.55564245727366,264.13062221147396
0.5,0.65,146.6675123553719,855775.9562056761,0.00017138540910364397,0.15854548750197583,0.0017138540910364396,217,788,114.88237968563014,239.73940034013108
0.5,0.675,139.4504497107438,798277.3490757188,0.00017468922282738673,0.15607847603977754,0.0017468922282738671,206,732,109.20912406755907,227.99515826342008
0.5,0.7,128.40311338842977,768907.9937098267,0.00016699411950305072,0.1464327998153119,0.0016699411950305072,195,693,100.89289093674991,214.6352377423456
0.5,0.725,119.98504495867769,718081.8169090579,0.0001670910502582372,0.14159246864656067,0.001670910502582372,185,639,94.45482875603966,193.1649920391614
0.5,0.75,108.25593966942148,654399.2540651035,0.00016542796923581387,0.13382286896202447,0.0016542796923581385,165,586,85.09998217127561,179.31716009099546
0.5,0.775,97.0570991322314,583093.5919982262,0.00016645200781511359,0.1271036939796418,0.0016645200781511358,152,513,76.55505992594885,150.35856332706848
0.5,0.8,85.25224173553717,508571.3164039189,0.00016763084937300693,0.11954457617592278,0.001676308493730069,131,453,67.08404844116042,132.06991047867407
0.5,0.825,72.32213066115703,425805.0647771068,0.00016984798125643476,0.11083216091442784,0.0016984798125643478,112,380,56.96464533776271,109.79975760424718
0.5,0.85,54.2092359090909,309336.65184057056,0.00017524349470566416,0.09746699926658699,0.0017524349470566414,92,302,43.21588897448447,100.41442124652337
0.5,0.875,43.832640619834706,236115.72757652326,0.0001856404953186733,0.09020594833929475,0.0018564049531867328,73,219,34.853364001734555,65.61993713436632
0.5,0.9,22.560213223140497,124721.18771345381,0.00018088516984758398,0.06388120224812209,0.0018088516984758397,45,130,18.433082099100147,92.6668778566304
0.5,0.925,13.990640578512396,67040.47868409066,0.00020868944931672314,0.05403423986619922,0.002086894493167231,33,74,11.790544555579153,52.09085196816977
0.5,0.95,0.8332731818181819,17924.284563686553,4.64885044006911e-05,0.006223955653756896,0.00046488504400691097,11,22,11.000000000000004,14.025480210719362
0.525,0.5,188.75785450413224,1090862.3275478187,0.00017303545070480758,0.18072576027837042,0.0017303545070480758,267,991,147.08353818100875,351.13719935022624
0.525,0.525,179.21453239669424,1054858.054926663,0.00016989445315384523,0.1744922777052281,0.0016989445315384521,259,956,139.99014436581217,335.3515030262318
0.525,0.55,170.72071185950418,1003655.8682272505,0.00017009885286781298,0.17040949870261957,0.0017009885286781296,248,912,133.4351208267936,312.7561900904639
0.525,0.575,162.3026434297521,945660.4665260311,0.000171628876509965,0.16690063015592782,0.00171628876509965,238,867,126.99521089573952,288.39497953777743
0.525,0.6,158.01785710743803,888904.065391168,0.00017776705412850288,0.1676018166897005,0.0017776705412850286,232,817,123.66030673035436,264.21635633612027
0.525,0.625,149.751292892562,838863.2441358843,0.00017851693221678972,0.1635027259793491,0.001785169322167897,224,769,117.45127434620757,242.41448472053295
0.525,0.65,142.53423024793392,783112.2182492393,0.00018200996859248325,0.16106722438404478,0.0018200996859248325,213,724,111.77797313728124,220.53946897659654
0.525,0.675,135.31716760330582,729829.1746165009,0.00018540937017817925,0.1583952992346176,0.0018540937017817924,202,672,106.10467521992547,210.818325200418
0.525,0.7,124.26983128099175,701163.9722194705,0.00017723362323883663,0.14840752156548226,0.0017723362323883662,191,635,97.78940953064635,197.7198887194134
