split,sample_id,sample_name,sample_group,rows,signal_rows,background_rows,assignment_valid_rows,sum_weight_pb
all,0,ggF_HH4b_SMnorm,signal,638,638,0,448,0.0006730899999999999
all,1,VBF_HH4b_SMnorm,signal,693,693,0,476,4.0679099999999995e-05
all,2,ttbar_200k,background,726,0,726,0,1.8595568984985351
all,3,Zbbbb_100k,background,3434,0,3434,0,0.23739214528000008
all,4,qcd_bbbb_iht100to200_20000,background,319,0,319,0,3.2895266273498533
all,5,qcd_bbbb_iht200to400_combined120k,background,8195,0,8195,0,8.628806723276774
all,6,qcd_bbbb_iht400to600_20000,background,3036,0,3036,0,1.4838248193740846
all,7,qcd_bbbb_iht600plus_20000,background,3623,0,3623,0,0.32383961947560314
train,0,ggF_HH4b_SMnorm,signal,446,446,0,309,0.0004705299999999998
train,1,VBF_HH4b_SMnorm,signal,485,485,0,335,2.8469499999999992e-05
train,2,ttbar_200k,background,508,0,508,0,1.301177554321289
train,3,Zbbbb_100k,background,2403,0,2403,0,0.16611919776000006
train,4,qcd_bbbb_iht100to200_20000,background,223,0,223,0,2.2995750404357906
train,5,qcd_bbbb_iht200to400_combined120k,background,5736,0,5736,0,6.039638238525391
train,6,qcd_bbbb_iht400to600_20000,background,2125,0,2125,0,1.038579624891281
train,7,qcd_bbbb_iht600plus_20000,background,2536,0,2536,0,0.22667879519462586
val,0,ggF_HH4b_SMnorm,signal,95,95,0,69,0.00010022499999999996
val,1,VBF_HH4b_SMnorm,signal,103,103,0,71,6.046099999999999e-06
val,2,ttbar_200k,background,108,0,108,0,0.27662829895019536
val,3,Zbbbb_100k,background,515,0,515,0,0.03560190880000001
val,4,qcd_bbbb_iht100to200_20000,background,47,0,47,0,0.4846637977600096
val,5,qcd_bbbb_iht200to400_combined120k,background,1229,0,1229,0,1.2940577746073405
val,6,qcd_bbbb_iht400to600_20000,background,455,0,455,0,0.22237822556495668
val,7,qcd_bbbb_iht600plus_20000,background,543,0,543,0,0.04853571994900704
test,0,ggF_HH4b_SMnorm,signal,97,97,0,70,0.00010233499999999997
test,1,VBF_HH4b_SMnorm,signal,105,105,0,70,6.163499999999999e-06
test,2,ttbar_200k,background,110,0,110,0,0.28175104522705086
test,3,Zbbbb_100k,background,516,0,516,0,0.035671038720000006
test,4,qcd_bbbb_iht100to200_20000,background,49,0,49,0,0.5052877891540528
test,5,qcd_bbbb_iht200to400_combined120k,background,1230,0,1230,0,1.2951107101440429
test,6,qcd_bbbb_iht400to600_20000,background,456,0,456,0,0.2228669689178467
test,7,qcd_bbbb_iht600plus_20000,background,544,0,544,0,0.04862510433197022
