family	generated_events	candidate_denominator	analysis_region_events	signal_region_events	control_region_events	signal_region_low_mhh	signal_region_high_mhh	control_region_low_mhh	control_region_high_mhh	signal_region_efficiency_vs_candidate	weighting_status
qcd_bbbb_iht400to600	150000	23100	3768	1246	2522	564	682	842	1680	0.05393939393939394	unweighted_descriptive_only
tttt	40000	7766	1887	874	1013	559	315	515	498	0.11254184908575843	unweighted_descriptive_only
tth_hbb	40000	4861	1626	864	762	690	174	544	218	0.17774120551326889	unweighted_descriptive_only
zbbbb	250000	7284	1410	626	784	577	49	623	161	0.08594179022515101	unweighted_descriptive_only
ttz_zbb	40000	4273	1247	499	748	410	89	493	255	0.11677978001404166	unweighted_descriptive_only
qcd_bbbb_general	150000	5416	861	406	455	342	64	343	112	0.07496307237813885	unweighted_descriptive_only
ttbar_inclusive	750000	2439	654	328	326	264	64	236	90	0.13448134481344814	unweighted_descriptive_only
bbh_hbb_4fs	50000	1715	394	224	170	208	16	131	39	0.1306122448979592	unweighted_descriptive_only
ttw	60000	348	91	52	39	37	15	28	11	0.14942528735632185	unweighted_descriptive_only
tw_top	70000	79	16	7	9	5	2	6	3	0.08860759493670886	unweighted_descriptive_only
tw_antitop	70000	108	15	6	9	4	2	5	4	0.05555555555555555	unweighted_descriptive_only
wzz_zbb	16500	81	28	6	22	4	2	10	12	0.07407407407407407	unweighted_descriptive_only
schannel_single_top	30000	21	8	5	3	4	1	2	1	0.23809523809523808	unweighted_descriptive_only
tchannel_antitop	80000	35	8	5	3	4	1	3	0	0.14285714285714285	unweighted_descriptive_only
wwz_zbb	26000	47	6	4	2	2	2	1	1	0.0851063829787234	unweighted_descriptive_only
zzz_zbb	7500	73	14	4	10	4	0	5	5	0.0547945205479452	unweighted_descriptive_only
ggh_hbb	100000	43	9	3	6	0	3	3	3	0.06976744186046512	unweighted_descriptive_only
qcd_hardqcd	2325457	62	7	3	4	0	3	4	0	0.04838709677419355	unweighted_descriptive_only
vbf_hbb	50000	30	5	3	2	2	1	0	2	0.1	unweighted_descriptive_only
wh_hbb	60000	38	9	3	6	2	1	2	4	0.07894736842105263	unweighted_descriptive_only
tchannel_top	80000	24	5	2	3	1	1	3	0	0.08333333333333333	unweighted_descriptive_only
wz_zbb	60000	7	1	1	0	1	0	0	0	0.14285714285714285	unweighted_descriptive_only
ww	40000	0	0	0	0	0	0	0	0	0.0	unweighted_descriptive_only
